Модуль 1
Put across = communicate succesfully; The lecturer managed to put his ideas across to the audience. доносить информацию
Put aside/by = save; He puts aside $50 a month for his summer holidays. сохранить, сберечь (о деньгах)
Put away = store  or Put sb into prison; Put the toys away in the cupboard. Were expecting guests tonight or The murderer was put away for 10 years. хранить, запрятать, посадить в тюрьму
Put down = write down or criticise or suppress forcibly; Make sure you take down everything said at the meeting or Tony is always putting me down and saying im not fast enough in sports or The police try to put down rioting at  football games. записывать, критиковать, подавлять
Put down to = attribute to; She puts her recent success down to hard work and dedication. соотносить
Put forward = propose He put forward a new plan to; help decrease unemployment. выдвигать, предлагать
Put off = displease or postpone; | don't like amusement parks, the long lines really put me off. The meeting wos put off due to the president's illness. не нравится, откладывать
Put on = dress oneself in or increase  (in weight) or cause to take place  (show/performance); Put on your coat and come with me. He has put on weight since he stopped working. They are putting on “My Fair Lady” on Broadway next month. надевать, набирать (вес), ставить (постановку)
Put out = extinguish  (fire etc) or cause inconvenience; The firefighters put out the fire quickly.| hope I'm not putting you out by asking you to do this. тушить (пожар), раздражать, приносить неудобства
Be put out = be annoyed; She was put out by his bad behaviour. раздраженный
Put through = connect by phone; Can you put me through to Mr. Jones, please. соединять (по телефону)
Put up = erect or offer hospitality or show in a public place or build; They've put up a statue in the square. When you are in town, Ill put you up in my house. The WWF has put up posters all around the city. показывать на публику, разместить у себя, строить 
Put up with = tolerate; | won't put up with such rude behaviour any longer. терпеть
See about = deal with or see to; I'll see about the food if you get the table ready. отвечать за что-то
See off = accompany a traveller to his/her plane, train, etc; When she left for Berlin her parents saw her off at the station. провожать до места отбытия
See out = accompany sb to the door/exit of a house/building; Don’t bother to see me out, i can find my own way. провожать до двери
See over = inspect a place or look around; Can i see over the flat before I make my decision. Осматривать
See through = not be deceived; He was such a poor liar that they saw through him at once. видеть насквозь
See through to = finish an unpleasant project or event; I didn’t like my piano class after a couple of weeks, but i decided to see it through to the end. закончить делать что-то скучное или неинтересное
See to = deal with; I usually clear the table, while my sister sees to washing the dishes. позаботиться о чем-то
Be made for = suit exactly; Buy this dress - it’s simply made for you. быть сделанным для
Make off = escape, leave; The criminal made off before the police arrived. сбежать
Make out = distinguish, pretend, write out; I can't make out what the name on the bell is. Karen made out like she was the one who bought the gift. Please make the check out to Norman Brothers Ltd. разобрать, притворяться, выписывать чек
Make over = give possession of sth to sb else; Before their uncle died he made over his whole estate to them. оставить наследство
Make up = invent or put cosmetics on or reconcile; That is not true she made the whole thing up. She made herself up before she went out. Thank goodness they've made up after their quarrel. изобретать, краситься, мириться
Make up for = compensate; The good summer weather is making up for the bad winter. компенсировать
Make up one’s mind = decide; She can't make up her mind whether to go to Spain or Italy. решить, определиться
Set about = begin to do; He set about fixing the door while she cleaned the house. начать делать что-то
Set aside = save for a special purpose; She sets aside $20 a week to buy a car. откладывать (деньги)
